% Conversion of CEAREX frequency data
% SEACAT sensor: 40
% Data every 1 minutes begining 22:00 04/07/89 , GMT
%Temperature calibration constants:
% .36738E-02 .58023E-03 .10956E-04 .22664E-06 .23576E+04
%Conductivity calibration constants:
% .12942E-04 .50860E+00-.42353E+01 .53138E-03 .43000E+01
%T adjusted:     .000, C adjusted:     .000
%Temp (C), Conductivity (mmho/cm), Salinity (%)
%
 -.6943 27.97892 34.26110
 -.6847 27.97569 34.26633
 -.6876 27.98106 34.27298
 -.6140 27.97891 34.27139
 -.6255 28.02300 34.28995
 -.6637 28.01656 34.26725
 -.6990 27.98215 34.23543
 -.6608 27.97892 34.25837
 -.6924 27.98107 34.25330
 -.6838 27.97139 34.25409
 -.6532 27.99074 34.28230
 -.6484 28.00472 34.28490
 -.6379 28.00903 34.27987
 -.6312 28.01871 34.28157
 -.6055 28.03591 34.29531
 -.5749 28.05634 34.30355
 -.5587 28.07893 34.30705
 -.5263 28.09292 34.30325
 -.5235 28.10905 34.29533
 -.4834 28.12197 34.29627
 -.4511 28.13488 34.28281
 -.4330 28.16607 34.29105
 -.4178 28.19511 34.30299
 -.4007 28.22845 34.32561
 -.3142 28.25748 34.34382
 -.3778 28.29406 34.33364
 -.3911 28.28545 34.32847
 -.4444 28.25965 34.30458
 -.4520 28.22523 34.29384
 -.4501 28.21340 34.29997
 -.4492 28.21124 34.30700
 -.4463 28.21339 34.31432
 -.4387 28.21554 34.31781
 -.4244 28.22844 34.33112
 -.4320 28.23597 34.33117
 -.4301 28.23275 34.32611
 -.4216 28.23812 34.33188
 -.4178 28.24673 34.33786
 -.4216 28.25855 34.34880
 -.4178 28.36821 34.49562
 -.4159 28.37143 34.49763
 -.4140 28.38111 34.50838
 -.4092 28.38649 34.51339
 -.4102 28.38434 34.50671
 -.4054 28.38541 34.50679
 -.3902 28.38971 34.50919
 -.3683 28.40154 34.51473
 -.3541 28.42090 34.52312
 -.3237 28.43919 34.53075
 -.3417 28.45963 34.53245
 -.3683 28.43920 34.50248
 -.3655 28.42844 34.50186
 -.3541 28.43919 34.52154
 -.3807 28.42844 34.50331
 -.4644 28.39941 34.47758
 -.5168 28.34456 34.45807
 -.5416 28.28433 34.43393
 -.5463 28.25851 34.44165
 -.5215 28.27032 34.48149
 -.5082 28.28000 34.49242
 -.4473 28.29505 34.50404
 -.3921 28.34345 34.53018
 -.3683 28.40905 34.56746
 -.2829 28.45637 34.59202
 -.1719 28.56928 34.67527
 -.1047 28.61986 34.64577
  .0172 28.71666 34.68827
  .0805 28.81456 34.70606
  .0937 28.86191 34.67691
  .0899 28.87590 34.64205
  .0267 28.86194 34.59903
 -.1265 28.76947 34.49998
 -.1748 28.66406 34.45815
 -.2525 28.59843 34.44717
 -.2772 28.53282 34.44181
 -.2800 28.51559 34.47381
 -.2762 28.51451 34.50150
 -.2354 28.52847 34.53260
 -.2639 28.54784 34.54158
 -.2753 28.52633 34.52052
 -.2781 28.52417 34.52793
 -.3351 28.49837 34.50019
 -.3750 28.48652 34.52001
 -.3845 28.45425 34.51730
 -.3740 28.43596 34.51843
 -.3807 28.42521 34.51091
 -.3807 28.42843 34.52244
 -.3579 28.42413 34.52029
 -.3522 28.43596 34.52501
 -.3541 28.44134 34.52341
 -.3550 28.44457 34.52441
 -.3313 28.44995 34.53049
 -.3151 28.45963 34.52942
 -.3180 28.47576 34.53485
 -.3398 28.47576 34.52838
 -.3237 28.46394 34.52170
 -.3094 28.46501 34.51855
 -.2639 28.48221 34.53122
 -.2174 28.55211 34.59370
 -.1492 28.64029 34.66966
 -.0754 28.69515 34.68315
 -.0546 28.72206 34.64725
 -.0621 28.73068 34.61113
 -.0678 28.72854 34.58879
 -.0706 28.76725 34.63373
 -.0725 28.76403 34.62778
 -.0782 28.75865 34.62088
 -.0829 28.75650 34.62135
 -.0773 28.75327 34.62140
 -.0744 28.75650 34.62465
 -.0735 28.75758 34.62395
 -.0432 28.76295 34.62949
 -.0158 28.77908 34.63301
 -.0744 28.78985 34.62284
 -.0848 28.76941 34.61662
 -.0952 28.74897 34.60581
 -.1056 28.73607 34.60272
 -.1255 28.71993 34.59418
 -.1473 28.68014 34.55894
 -.1359 28.69304 34.59729
 -.0480 28.69411 34.60289
  .0795 28.73714 34.61240
  .1239 28.87481 34.69922
  .1361 28.92967 34.69882
  .1700 28.95335 34.68670
  .2237 28.99422 34.69986
  .2858 29.03081 34.69742
  .3064 29.06954 34.68812
  .3196 29.13407 34.73129
  .3102 29.13194 34.70012
  .2482 29.09216 34.63892
  .3102 29.10289 34.68358
  .3299 29.11473 34.67945
  .2933 29.12226 34.66840
  .1672 29.10936 34.66159
  .1305 28.96417 34.54644
  .1314 28.95124 34.58807
  .1766 28.95338 34.61975
  .2115 28.98779 34.65413
  .2133 29.01253 34.66160
  .1832 29.01469 34.65079
  .1267 28.97275 34.60562
  .1276 28.95660 34.62124
  .1521 28.95444 34.63635
  .1399 28.96520 34.64571
  .1229 28.95552 34.63742
  .1276 28.94907 34.64070
  .1239 28.94477 34.63827
  .1380 28.94477 34.64202
  .1550 28.95552 34.65013
  .2594 28.97058 34.65741
  .2641 29.00178 34.63335
  .2886 29.06632 34.68319
  .2547 29.05880 34.64188
  .2613 29.05773 34.64384
  .2077 29.06418 34.65031
  .2576 29.04804 34.65826
  .2914 29.07062 34.67452
  .2632 29.08139 34.66287
  .2980 29.08354 34.66868
  .2961 29.09429 34.66473
  .2876 29.10398 34.66948
  .2801 29.09645 34.66035
  .2688 29.09322 34.66072
  .2463 29.07279 34.64249
  .2406 29.05773 34.63970
  .2077 29.05127 34.64290
  .1672 29.03298 34.64321
  .2105 29.01791 34.65838
  .2030 29.01684 34.65007
  .1842 29.00394 34.63384
  .1380 28.98028 34.61364
  .1719 28.96844 34.62954
  .0842 28.95016 34.60204
  .1578 28.93509 34.62989
  .0984 28.95014 34.63219
  .0125 28.90928 34.60287
 -.0943 28.76733 34.47580
 -.2743 28.59741 34.34099
 -.3284 28.54681 34.42018
 -.4454 28.48119 34.43668
 -.4806 28.40157 34.44848
 -.4397 28.37466 34.49162
 -.4216 28.38218 34.51815
 -.3978 28.39400 34.53197
 -.3607 28.44992 34.59248
 -.2762 28.49186 34.62039
 -.2923 28.52306 34.59995
